Date,Description,Amount,Balance
01/02/2026,DIRECT DEP ACME CORP PAYROLL,1850.00,3210.55
01/03/2026,KROGER #418 TOLEDO OH,-86.41,3124.14
01/04/2026,SHELL OIL 574123 TOLEDO OH,-41.20,3082.94
01/05/2026,NETFLIX.COM 866-579-7172 CA,-15.49,3067.45
01/06/2026,SPOTIFY USA NEW YORK NY,-11.99,3055.46
01/07/2026,STARBUCKS STORE 0481,-6.85,3048.61
01/08/2026,CHIPOTLE 1492 TOLEDO OH,-12.74,3035.87
01/10/2026,ANYTIME FITNESS MONTHLY DUES,-39.99,2995.88
01/12/2026,AMAZON.COM*AB12CD3 AMZN.COM/BILL WA,-54.30,2941.58
01/14/2026,KROGER #418 TOLEDO OH,-72.18,2869.40
01/15/2026,DOORDASH*WENDYS SAN FRANCISCO CA,-23.61,2845.79
01/16/2026,SHELL OIL 574123 TOLEDO OH,-38.90,2806.89
01/18/2026,SPECTRUM 855-707-7328 OH,-74.99,2731.90
01/20/2026,APPLE.COM/BILL 866-712-7753 CA,-2.99,2728.91
01/22/2026,ZELLE PAYMENT TO ALEX,-40.00,2688.91
01/24/2026,MEIJER #214 TOLEDO OH,-63.77,2625.14
01/27/2026,STARBUCKS STORE 0481,-7.45,2617.69
01/31/2026,AT&T *PAYMENT 800-331-0500 TX,-65.00,2552.69
02/02/2026,DIRECT DEP ACME CORP PAYROLL,1850.00,4402.69
02/03/2026,KROGER #418 TOLEDO OH,-91.02,4311.67
02/05/2026,NETFLIX.COM 866-579-7172 CA,-15.49,4296.18
02/06/2026,SPOTIFY USA NEW YORK NY,-11.99,4284.19
02/07/2026,SHELL OIL 574123 TOLEDO OH,-40.55,4243.64
02/09/2026,CHICK-FIL-A #02244 TOLEDO OH,-11.20,4232.44
02/10/2026,ANYTIME FITNESS MONTHLY DUES,-39.99,4192.45
02/11/2026,TARGET 00012841 TOLEDO OH,-118.44,4074.01
02/13/2026,STARBUCKS STORE 0481,-6.85,4067.16
02/14/2026,OLIVE GARDEN 0091 TOLEDO OH,-58.30,4008.86
02/15/2026,SPECTRUM 855-707-7328 OH,-74.99,3933.87
02/17/2026,KROGER #418 TOLEDO OH,-79.65,3854.22
02/18/2026,UBER TRIP HELP.UBER.COM CA,-18.42,3835.80
02/20/2026,APPLE.COM/BILL 866-712-7753 CA,-2.99,3832.81
02/24/2026,SHELL OIL 574123 TOLEDO OH,-43.10,3789.71
02/26/2026,DOORDASH*CHIPOTLE SAN FRANCISCO CA,-26.18,3763.53
02/28/2026,AT&T *PAYMENT 800-331-0500 TX,-65.00,3698.53
03/02/2026,DIRECT DEP ACME CORP PAYROLL,1850.00,5548.53
03/03/2026,KROGER #418 TOLEDO OH,-88.30,5460.23
03/05/2026,NETFLIX.COM 866-579-7172 CA,-15.49,5444.74
03/06/2026,SPOTIFY USA NEW YORK NY,-11.99,5432.75
03/07/2026,SHELL OIL 574123 TOLEDO OH,-39.75,5393.00
03/08/2026,STARBUCKS STORE 0481,-7.10,5385.90
03/10/2026,ANYTIME FITNESS MONTHLY DUES,-39.99,5345.91
03/11/2026,BEST BUY 00018472 TOLEDO OH,-642.99,4702.92
03/13/2026,CHIPOTLE 1492 TOLEDO OH,-13.05,4689.87
03/15/2026,SPECTRUM 855-707-7328 OH,-74.99,4614.88
03/16/2026,MEIJER #214 TOLEDO OH,-71.40,4543.48
03/18/2026,DELTA AIR 0062317654 ATLANTA GA,-312.40,4231.08
03/20/2026,APPLE.COM/BILL 866-712-7753 CA,-2.99,4228.09
03/21/2026,MARRIOTT COLUMBUS OH,-189.00,4039.09
03/23/2026,SHELL OIL 574123 TOLEDO OH,-42.85,3996.24
03/25/2026,DOORDASH*PANERA SAN FRANCISCO CA,-21.77,3974.47
03/27/2026,KROGER #418 TOLEDO OH,-66.92,3907.55
03/29/2026,CVS/PHARMACY #04122 TOLEDO OH,-24.31,3883.24
03/31/2026,AT&T *PAYMENT 800-331-0500 TX,-65.00,3818.24
04/02/2026,DIRECT DEP ACME CORP PAYROLL,1850.00,5668.24
04/03/2026,KROGER #418 TOLEDO OH,-94.18,5574.06
04/05/2026,NETFLIX.COM 866-579-7172 CA,-15.49,5558.57
04/06/2026,SPOTIFY USA NEW YORK NY,-11.99,5546.58
04/07/2026,SHELL OIL 574123 TOLEDO OH,-44.30,5502.28
04/08/2026,STARBUCKS STORE 0481,-6.95,5495.33
04/10/2026,ANYTIME FITNESS MONTHLY DUES,-39.99,5455.34
04/12/2026,CHIPOTLE 1492 TOLEDO OH,-12.95,5442.39
04/14/2026,AMAZON.COM*XY98ZT1 AMZN.COM/BILL WA,-38.76,5403.63
04/15/2026,SPECTRUM 855-707-7328 OH,-74.99,5328.64
04/16/2026,MEIJER #214 TOLEDO OH,-58.21,5270.43
04/18/2026,UBER TRIP HELP.UBER.COM CA,-15.30,5255.13
04/20/2026,APPLE.COM/BILL 866-712-7753 CA,-2.99,5252.14
04/22/2026,SHELL OIL 574123 TOLEDO OH,-41.60,5210.54
04/24/2026,WENDYS #4471 TOLEDO OH,-9.84,5200.70
04/26/2026,KROGER #418 TOLEDO OH,-83.55,5117.15
04/30/2026,AT&T *PAYMENT 800-331-0500 TX,-65.00,5052.15
